"Id","SalePrice"
1461,116678
1462,158553
1463,183925
1464,187226
1465,183697
1466,174245
1467,176418
1468,169716
1469,189689
1470,122975
1471,203583
1472,91695
1473,96988
1474,152800
1475,125316
1476,356878
1477,255873
1478,292041
1479,280115
1480,540695
1481,325429
1482,206444
1483,162765
1484,161597
1485,169547
1486,199121
1487,319289
1488,243247
1489,200853
1490,210465
1491,186075
1492,81940
1493,180961
1494,291673
1495,294139
1496,231888
1497,181341
1498,161622
1499,157912
1500,154103
1501,168176
1502,150969
1503,273486
1504,244094
1505,222282
1506,183414
1507,240902
1508,171747
1509,160451
1510,144034
1511,142833
1512,158702
1513,143176
1514,154126
1515,183770
1516,148854
1517,165487
1518,127207
1519,219714
1520,133012
1521,131480
1522,158772
1523,112562
1524,115333
1525,125072
1526,120869
1527,101106
1528,144683
1529,153853
1530,175078
1531,102979
1532,104102
1533,138219
1534,111632
1535,146720
1536,107750
1537,64022
1538,159291
1539,197136
1540,90159
1541,149983
1542,145077
1543,227840
1544,81628
1545,113365
1546,134346
1547,147555
1548,138653
1549,116350
1550,143998
1551,127970
1552,134603
1553,140385
1554,115026
1555,157605
1556,81238
1557,98002
1558,89732
1559,98338
1560,145792
1561,112330
1562,124393
1563,119579
1564,152540
1565,136735
1566,215822
1567,76409
1568,206967
1569,124339
1570,127146
1571,105305
1572,146181
1573,237346
1574,95529
1575,231422
1576,230131
1577,192597
1578,139970
1579,145461
1580,207404
1581,141537
1582,131509
1583,327657
1584,224489
1585,139393
1586,72760
1587,98283
1588,153938
1589,86532
1590,133730
1591,96006
1592,116093
1593,129490
1594,119173
1595,117051
1596,246468
1597,178869
1598,207720
1599,198272
1600,191065
1601,64373
1602,98518
1603,82552
1604,273693
1605,252886
1606,187537
1607,160768
1608,204405
1609,193348
1610,159585
1611,124262
1612,164990
1613,158362
1614,121163
1615,78683
1616,68306
1617,90201
1618,126481
1619,137030
1620,168122
1621,142534
1622,142962
1623,296301
1624,195768
1625,120760
1626,167848
1627,188958
1628,271271
1629,169191
1630,343558
1631,219950
1632,215022
1633,179163
1634,185058
1635,187731
1636,167281
1637,183651
1638,192849
1639,177117
1640,262242
1641,172877
1642,237880
1643,229378
1644,234956
1645,190556
1646,168565
1647,159291
1648,125808
1649,139784
1650,127075
1651,125270
1652,94705
1653,95159
1654,148924
1655,156805
1656,148904
1657,148555
1658,145878
1659,139257
1660,150412
1661,472658
1662,437537
1663,434219
1664,473633
1665,319966
1666,330411
1667,364690
1668,317458
1669,304738
1670,377041
1671,243234
1672,450534
1673,301067
1674,254084
1675,187702
1676,186674
1677,219781
1678,477259
1679,382256
1680,348871
1681,285636
1682,300906
1683,181625
1684,174018
1685,176440
1686,167496
1687,169075
1688,194054
1689,190212
1690,185063
1691,182567
1692,268574
1693,169770
1694,188366
1695,173587
1696,285323
1697,182193
1698,398652
1699,321473
1700,259681
1701,266329
1702,255954
1703,252556
1704,282714
1705,242276
1706,465963
1707,210625
1708,214540
1709,280085
1710,214842
1711,265760
1712,264595
1713,280684
1714,205736
1715,206736
1716,197582
1717,178943
1718,128130
1719,200189
1720,252014
1721,182362
1722,127706
1723,160058
1724,216759
1725,238649
1726,182469
1727,152792
1728,187254
1729,167990
1730,183429
1731,111590
1732,133157
1733,105496
1734,122092
1735,133943
1736,112747
1737,330258
1738,240047
1739,269697
1740,202272
1741,191445
1742,166962
1743,179431
1744,307704
1745,196111
1746,171457
1747,220072
1748,207803
1749,151773
1750,137684
1751,236513
1752,117551
1753,140255
1754,194428
1755,155226
1756,132291
1757,121144
1758,138084
1759,160744
1760,166548
1761,149738
1762,178916
1763,175170
1764,110377
1765,161039
1766,185077
1767,206875
1768,142507
1769,186467
1770,152620
1771,135475
1772,133206
1773,134263
1774,132667
1775,147591
1776,107447
1777,112762
1778,138742
1779,104994
1780,176442
1781,132055
1782,92524
1783,146129
1784,95867
1785,116368
1786,157025
1787,164670
1788,59301
1789,104755
1790,83703
1791,186047
1792,154125
1793,139742
1794,156375
1795,137763
1796,110745
1797,125646
1798,121976
1799,115563
1800,122964
1801,138472
