"Id","LotFrontage","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","MasVnrArea","BsmtFinSF1","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageYrBlt","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","MSSubClass","MSZoning","LotShape","LandContour","Neighborhood","BldgType","HouseStyle","Exterior1st","Exterior2nd","MasVnrType","ExterQual","Foundation","BsmtQual","BsmtExposure","BsmtFinType1","HeatingQC","CentralAir","Electrical","KitchenQual","Functional","FireplaceQu","GarageType","GarageFinish","GarageQual","GarageCond","PavedDrive","SalePrice"
1,-0.698178721688021,-0.664743656500977,0.649468352695249,-0.507415853654135,1.04705128923793,0.897547839806423,-0.275379013485917,0.601411013821127,-0.933601754664397,-0.449313975407467,-0.106194262496959,1.21026559454851,-0.370456456923481,1.08856914462012,0.78310230789909,1.2334525910238,0.169957875577836,-0.68248589225447,0.992108623230287,-0.924604452482965,0.997823817100162,0.307063406094092,0.351531840965382,-0.130790275289642,-0.689493744628248,"60","RL","Reg","Lvl","CollgCr","1Fam","2Story","VinylSd","VinylSd","BrkFace","Gd","PConc","Gd","No","GLQ","Ex","Y","SBrkr","Gd","Typ","None","Attchd","RFn","TA","TA","Y",5.31910605930978
2,-0.323398055017213,-1.16054374828795,-0.0614131425437907,2.18699927700565,0.155579434084748,-0.394796998587595,-0.24468703690091,1.21377462294704,-0.628847703176421,0.496032852113889,-0.567443196601861,-0.784503797846999,-0.322901725526847,-0.819697799404456,0.78310230789909,-0.755481188974221,0.169957875577836,-0.68248589225447,-0.286433834893304,0.626327800474372,-0.0304598299700995,0.307063406094092,-0.0583709374614957,0.208215811127139,-0.152167027978576,"20","RL","Reg","Lvl","Veenker","1Fam","1Story","MetalSd","MetalSd","None","TA","CBlock","Gd","Gd","ALQ","Ex","Y","SBrkr","TA","Typ","TA","Attchd","RFn","TA","TA","Y",5.25887662937213
3,-1.18500811975579,-0.846943850950805,0.649468352695249,-0.507415853654135,0.981016337004357,0.8496832161622,-0.46895589186671,0.106116918204578,-0.287705108227195,-0.30029378584745,-0.209743300855003,1.23829514104587,-0.237263661521533,1.08856914462012,0.78310230789909,1.2334525910238,0.169957875577836,-0.68248589225447,-0.286433834893304,0.626327800474372,0.92165465805792,0.307063406094092,0.631011008074618,-0.130790275289642,-1.10420456167385,"60","RL","IR1","Lvl","CollgCr","1Fam","2Story","VinylSd","VinylSd","BrkFace","Gd","PConc","Gd","Mn","GLQ","Ex","Y","SBrkr","Gd","Typ","TA","Attchd","RFn","TA","TA","Y",5.34927752746796
4,-0.37114851867897,-1.1220472327144,0.649468352695249,-0.507415853654135,-1.8584866090391,-0.681984740452933,-0.24468703690091,-0.501744017324823,-0.0466310077964081,-0.682158021594993,-0.291970981948933,0.981357631486732,-0.356331707358054,1.08856914462012,-1.02696855750633,-0.755481188974221,0.169957875577836,-0.68248589225447,0.352837394168492,0.626327800474372,0.807400919494558,1.62041231456399,0.789382536103184,-0.130790275289642,-0.73764397502777,"70","RL","IR1","Lvl","Crawfor","1Fam","2Story","Wd Sdng","Wd Shng","None","TA","BrkTil","TA","No","ALQ","Gd","Y","SBrkr","Gd","Typ","Gd","Detchd","Unf","TA","TA","Y",5.14612803567824
5,-0.18377840355362,-0.277529878535912,1.36034984793429,-0.507415853654135,0.947998860887572,0.753953968873755,0.144405761395442,0.486592837110018,-0.160345206112817,0.223605318074484,-1.4822118571005,1.67508890729641,0.148665360360389,1.08856914462012,0.78310230789909,1.2334525910238,1.38507337327525,-0.68248589225447,1.63137985229208,0.626327800474372,0.8835700785368,1.62041231456399,1.69303184308971,-0.109337320059484,-0.261943552176806,"60","RL","IR1","Lvl","NoRidge","1Fam","2Story","VinylSd","VinylSd","BrkFace","Gd","PConc","Gd","Av","GLQ","Ex","Y","SBrkr","Gd","Typ","TA","Attchd","RFn","TA","TA","Y",5.39794000867204
6,-0.154909457027975,-0.293087805299109,-0.77229463778283,-0.507415853654135,0.716876528070082,0.51463085065264,-0.24468703690091,0.659945770575811,-1.12919017576862,-0.589020403119982,-0.0274192711206643,0.537556478611852,-0.561934834764451,1.08856914462012,-1.02696855750633,1.2334525910238,-2.260273119817,-0.68248589225447,-0.925705063955099,-0.924604452482965,0.616978021888954,0.307063406094092,0.0347887849082493,-0.372799529790702,-0.589299445636619,"50","RL","IR1","Lvl","Mitchel","1Fam","1.5Fin","VinylSd","VinylSd","None","TA","Wood","Gd","No","GLQ","Ex","Y","SBrkr","TA","Typ","None","Attchd","Unf","TA","TA","Y",5.15533603746506
7,-0.602387412066145,-2.14866964896255,1.36034984793429,-0.507415853654135,1.08006876535471,0.993277087094869,-0.323933146629546,2.09404731106555,-0.553796332287592,1.483291607949,0.143655111398789,-0.784503797846999,-0.404578378181859,1.08856914462012,0.78310230789909,-0.755481188974221,0.169957875577836,-0.68248589225447,0.352837394168492,0.626327800474372,1.03590839662128,0.307063406094092,0.761434619392261,0.105621797144501,-0.839182662843404,"20","RL","Reg","Lvl","Somerst","1Fam","1Story","VinylSd","VinylSd","Stone","Gd","PConc","Ex","Av","GLQ","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y",5.48713837547719
8,-0.323398055017213,-1.5076655043032,0.649468352695249,0.390722523232461,0.0565270057343952,-0.538390869520264,-0.109417337452582,0.945865543954455,-0.783499012886738,0.135124580523224,-0.880815121497773,1.51158321939514,0.0758605353705415,1.08856914462012,0.78310230789909,1.2334525910238,0.169957875577836,-0.68248589225447,0.352837394168492,2.17726005343171,-0.144713568533462,0.307063406094092,0.0534207293821983,0.0481564793405115,0.368278943379488,"60","RL","IR1","Lvl","NWAmes","1Fam","2Story","HdBoard","HdBoard","Stone","TA","CBlock","Gd","Mn","ALQ","Ex","Y","SBrkr","TA","Typ","TA","Attchd","RFn","TA","TA","Y",5.30102999566398
9,-0.0806020160417861,-0.288320752208017,0.649468352695249,-0.507415853654135,-1.33020699117055,-1.63927721333739,-0.24468703690091,-0.988032765748344,0.890373986330801,-0.225783691067442,-0.453202945952539,0.972014449320945,-0.255763579664486,-0.819697799404456,0.78310230789909,-0.755481188974221,-1.04515762211958,0.648707724151998,0.992108623230287,2.17726005343171,-1.74426590842054,0.307063406094092,-0.0211070485135977,-1.5423660955845,-0.152167027978576,"50","RM","Reg","Lvl","OldTown","1Fam","1.5Fin","BrkFace","Wd Shng","None","TA","BrkTil","TA","No","Unf","Gd","Y","FuseF","TA","Min1","TA","Detchd","Unf","Fa","TA","Y",5.11360915107303
10,-0.0576797558227794,-0.458006864999157,-0.77229463778283,0.390722523232461,-1.06606718223627,-1.63927721333739,-0.24468703690091,0.927854849568398,-0.956344594327679,-0.134974513054306,-0.67892563585898,-0.784503797846999,-0.0717349434454767,1.08856914462012,-1.02696855750633,-0.755481188974221,-1.04515762211958,0.648707724151998,-0.925705063955099,2.17726005343171,-1.43958927225157,-1.0062855023758,-1.24615739767574,-0.130790275289642,-0.190557173905322,"190","RL","Reg","Lvl","BrkSide","2fmCon","1.5Unf","MetalSd","MetalSd","None","TA","BrkTil","TA","No","GLQ","Ex","Y","SBrkr","TA","Typ","TA","Attchd","RFn","Gd","TA","Y",5.07188200730613
